 Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Fwd Packet Length Min,Bwd Packet Length Max, Flow IAT Mean, Flow IAT Std, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Min, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Init_Win_bytes_backward, NFlow Packets/s
39257,24877,17,110909,4,0,1398.0,330.0,0.0,36969.66666666667,64031.60895474463,1.0,110909.0,36969.66666666667,1.0,0,0,0.0,-1,-0.9172262895707822
53445,32750,17,0,2,0,750.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0.0,-1,1.6017995368153533e-15
63696,3000,6,268073,3,4,323.0,0.0,451.0,44678.83333333333,85021.7659083053,0.0,261214.0,130607.0,0.0,60,104,14.921308747990286,4099,-0.9172368242746212
720,63046,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
62759,9935,17,1,2,0,1032.0,516.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
26375,46608,4,101,2,2,12.0,4.0,4.0,33.66666666666667,57.44852768638491,0.0,0.0,0.0,0.0,40,40,19801.980198019806,0,-0.8753471632753234
41420,42209,17,1,2,0,802.0,401.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
29768,47561,4,0,2,0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0.0,-1,1.6017995368153533e-15
50212,80,6,263,0,2,0.0,0.0,0.0,263.0,0.0,263.0,0.0,0.0,0.0,0,64,7604.5627376425855,108,-0.9092157029824603
62472,1564,17,3000587,3,0,2064.0,516.0,0.0,1000195.6666666667,1732387.9801260838,1.0,3000587.0,1000195.6666666667,1.0,68,0,0.0,-1,-0.9172630508908652
3000,59132,6,32880,1,1,0.0,0.0,0.0,32880.0,0.0,32880.0,0.0,0.0,0.0,20,20,30.413625304136254,2051,-0.9172000815514024
621,27437,17,1,2,0,2944.0,1472.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
60108,3000,6,118125778,44,45,801.0,0.0,0.0,1342338.386,1663639.609,1440.0,118000000.0,2745770.837,74087.0,880,936,0.380949872,2051,-0.9172636643868796
33541,52425,17,268870,24,0,9316.0,343.0,0.0,11689.999999999998,33637.99931084433,1.0,268870.0,11689.999999999998,1.0,0,0,0.0,-1,-0.917169985381205
686,38515,17,48,2,0,494.0,247.0,0.0,48.0,0.0,48.0,48.0,48.0,48.0,16,0,0.0,-1,-0.8731639706422408
648,53604,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
54754,3000,6,1794708,4,4,359.0,0.0,451.0,256386.8571428571,422074.1673297986,713.0,795133.0,265044.3333333334,7069.0,92,104,2.228774820193592,2051,-0.917259743907422
56492,23951,4,106,2,2,12.0,4.0,4.0,35.33333333333333,58.60318535142382,1.0,1.0,1.0,1.0,40,40,18867.924528301886,0,-0.8773243943392474
668,48383,17,1,2,0,2928.0,1464.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
764,37105,17,1,2,0,422.0,211.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
6998,60195,4,113,2,2,12.0,4.0,4.0,37.66666666666667,32.74650108535771,1.0,48.0,48.0,48.0,40,40,17699.115044247792,0,-0.8797985578121573
63226,39563,4,107,2,2,12.0,4.0,4.0,35.66666666666667,30.105370506494907,2.0,45.0,45.0,45.0,40,40,18691.58878504673,0,-0.8776976659980441
40913,22171,17,107859,3,0,1398.0,330.0,0.0,35953.0,62271.55666112741,0.0,107859.0,35953.0,0.0,32,0,0.0,-1,-0.9172252101486462
40587,33222,4,1,2,0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
648,39948,17,1,2,0,494.0,247.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
